Ensemble_ID,Gene,Probability_Class_0,Probability_Class_1
ENSG00000158321,AUTS2,0.00026761510808115396,0.9997323848919188
ENSG00000101126,ADNP,0.0006271530204929876,0.999372846979507
ENSG00000123066,MED13L,0.0007945517150704795,0.9992054482849295
ENSG00000100888,CHD8,0.0008571980708598215,0.9991428019291402
ENSG00000197283,SYNGAP1,0.0009082933777055935,0.9990917066222944
ENSG00000204406,MBD5,0.000919340927759249,0.9990806590722408
ENSG00000165186,PTCHD1,0.001093836410574034,0.998906163589426
ENSG00000170471,RALGAPB,0.0013914574440127003,0.9986085425559873
ENSG00000124313,IQSEC2,0.0015669834703183616,0.9984330165296816
ENSG00000168137,SETD5,0.002181681269852298,0.9978183187301477
ENSG00000196338,NLGN3,0.0028426217736704507,0.9971573782263295
ENSG00000110066,KMT5B,0.002869519872873205,0.9971304801271268
ENSG00000146938,NLGN4X,0.00313067421447466,0.9968693257855253
ENSG00000049618,ARID1B,0.0032572741465120014,0.996742725853488
ENSG00000008086,CDKL5,0.0033552011952540095,0.996644798804746
ENSG00000167522,ANKRD11,0.0033821861842545653,0.9966178138157454
ENSG00000136535,TBR1,0.004174717994307686,0.9958252820056923
ENSG00000165194,PCDH19,0.004348774339984818,0.9956512256600152
ENSG00000141431,ASXL3,0.00445007419987109,0.9955499258001289
ENSG00000128573,FOXP2,0.005158274332697554,0.9948417256673024
ENSG00000186487,MYT1L,0.005257736986843176,0.9947422630131568
ENSG00000169057,MECP2,0.00533977071783065,0.9946602292821694
ENSG00000116539,ASH1L,0.0058076368580063376,0.9941923631419937
ENSG00000050030,NEXMIF,0.00600378066595908,0.9939962193340409
ENSG00000118482,PHF3,0.007367381411623852,0.9926326185883761
ENSG00000100207,TCF20,0.007914478420987803,0.9920855215790122
ENSG00000179915,NRXN1,0.008566778580531342,0.9914332214194687
ENSG00000146830,GIGYF1,0.00871562472015086,0.9912843752798491
ENSG00000162105,SHANK2,0.008774701861061662,0.9912252981389383
ENSG00000198689,SLC9A6,0.010286504004553665,0.9897134959954463
ENSG00000136531,SCN2A,0.01114930435743311,0.9888506956425669
ENSG00000188994,ZNF292,0.011744521047421408,0.9882554789525786
ENSG00000004848,ARX,0.012665334122927363,0.9873346658770726
ENSG00000197724,PHF2,0.012670393845097827,0.9873296061549022
ENSG00000189056,RELN,0.014157923409804929,0.9858420765901951
ENSG00000177542,SLC25A22,0.0145139070002126,0.9854860929997874
ENSG00000120733,KDM3B,0.015352060691063985,0.984647939308936
ENSG00000102081,FMR1,0.015504213170056458,0.9844957868299435
ENSG00000181090,EHMT1,0.0156231765082534,0.9843768234917466
ENSG00000171587,DSCAM,0.015896706806622585,0.9841032931933774
ENSG00000174672,BRSK2,0.017365863306132878,0.9826341366938671
ENSG00000005810,MYCBP2,0.018798355493695795,0.9812016445063042
ENSG00000155966,AFF2,0.019544419150366865,0.9804555808496331
ENSG00000198824,CHAMP1,0.019730844463708208,0.9802691555362918
ENSG00000181722,ZBTB20,0.019924138116913848,0.9800758618830862
