Ensemble_ID,Gene,Probability_Class_0,Probability_Class_1
ENSG00000158321,AUTS2,0.00036071586598485084,0.9996392841340151
ENSG00000101126,ADNP,0.0007507351686352193,0.9992492648313648
ENSG00000204406,MBD5,0.0008976320653292236,0.9991023679346708
ENSG00000100888,CHD8,0.0009005767182795887,0.9990994232817204
ENSG00000165186,PTCHD1,0.0011408613395147427,0.9988591386604853
ENSG00000170471,RALGAPB,0.0011880539994002515,0.9988119460005997
ENSG00000197283,SYNGAP1,0.001248429074574231,0.9987515709254258
ENSG00000123066,MED13L,0.001559102033333093,0.9984408979666669
ENSG00000124313,IQSEC2,0.0017286830344702686,0.9982713169655297
ENSG00000168137,SETD5,0.0026101807037938185,0.9973898192962062
ENSG00000196338,NLGN3,0.003349024383603405,0.9966509756163966
ENSG00000110066,KMT5B,0.0033818771772893275,0.9966181228227107
ENSG00000146938,NLGN4X,0.0036173692504245514,0.9963826307495754
ENSG00000169057,MECP2,0.003719706466123851,0.9962802935338761
ENSG00000167522,ANKRD11,0.0038436799832427537,0.9961563200167572
ENSG00000008086,CDKL5,0.003913931514546221,0.9960860684854538
ENSG00000165194,PCDH19,0.004311193349418985,0.995688806650581
ENSG00000136535,TBR1,0.004709297711877003,0.995290702288123
ENSG00000049618,ARID1B,0.004725374461254983,0.995274625538745
ENSG00000116539,ASH1L,0.005349653366178431,0.9946503466338216
ENSG00000186487,MYT1L,0.005568143853600049,0.9944318561464
ENSG00000128573,FOXP2,0.005602961273924567,0.9943970387260754
ENSG00000118482,PHF3,0.006097818699641211,0.9939021813003588
ENSG00000141431,ASXL3,0.006156270110298512,0.9938437298897015
ENSG00000179915,NRXN1,0.008655349660424916,0.9913446503395751
ENSG00000100207,TCF20,0.009383393390226313,0.9906166066097737
ENSG00000004848,ARX,0.009807460991837047,0.990192539008163
ENSG00000146830,GIGYF1,0.009938418328174548,0.9900615816718255
ENSG00000198689,SLC9A6,0.00994239963219068,0.9900576003678093
ENSG00000050030,NEXMIF,0.010621282682868438,0.9893787173171316
ENSG00000102081,FMR1,0.011692834994470491,0.9883071650055295
ENSG00000162105,SHANK2,0.012052437920903492,0.9879475620790965
ENSG00000136531,SCN2A,0.01323809133923648,0.9867619086607635
ENSG00000189056,RELN,0.013698342829560839,0.9863016571704392
ENSG00000177542,SLC25A22,0.014021894705500415,0.9859781052944996
ENSG00000188994,ZNF292,0.014405797889169292,0.9855942021108307
